param_value,alpha,beta,gamma,f1,f2,fitness,n_selected
0.2,0.2,0.5599999999999999,0.24,0.815695067264391,0.08710606548080806,-0.09847434375549553,15
0.3,0.3,0.48999999999999994,0.21,0.8968609865468841,0.10934411913402992,-0.1862793221907895,19
0.4,0.4,0.42,0.18,0.9221973094168335,0.1155796601859495,-0.2920345366492433,19
0.5,0.5,0.35,0.15,0.9539237668159295,0.124312481806574,-0.40806698689903276,20
0.6,0.6,0.27999999999999997,0.12,0.9936098654706291,0.16720289255558854,-0.5128833472967591,24
0.7,0.7,0.21000000000000002,0.09000000000000001,0.9844170403585236,0.1508977953455015,-0.6334943003193203,22
0.8,0.8,0.13999999999999996,0.059999999999999984,0.9914798206275803,0.16682370424837722,-0.750288096730821,27
