generation,best_fitness,mean_fitness,f1_coverage,f2_cost,n_selected,feasible,mut_rate
0,-0.42779248317767116,29.603686473360582,0.9748878923764629,0.2695722449478828,40,True,0.05
1,-0.42979535300338334,59.60140195525559,0.9721973094168223,0.2685380950191247,40,True,0.04986666666666667
2,-0.43440332526624714,-0.40187862621722475,0.982062780268838,0.2745821268249779,40,True,0.04973333333333334
3,-0.4380843328663243,4.596022181164818,0.9681614349773613,0.24032878307355474,40,True,0.049600000000000005
4,-0.4380843328663243,-0.41031119553856116,0.9681614349773613,0.24032878307355474,40,True,0.04946666666666667
5,-0.45010499009731186,14.593451923936712,0.9887892376679396,0.24803894532018506,39,True,0.04933333333333333
6,-0.4532160837154113,9.58955605682277,0.982062780268838,0.23495503362893358,36,True,0.0492
7,-0.4532160837154113,19.590979130672707,0.982062780268838,0.23495503362893358,36,True,0.04906666666666667
8,-0.4569798411771189,-0.41743997641933384,0.984865470851797,0.22275972483942993,37,True,0.048933333333333336
9,-0.4569798411771189,49.58611394476481,0.984865470851797,0.22275972483942993,37,True,0.0488
10,-0.4569798411771189,29.58259090991237,0.984865470851797,0.22275972483942993,37,True,0.04866666666666667
11,-0.4569798411771189,4.577314041548616,0.984865470851797,0.22275972483942993,37,True,0.04853333333333334
12,-0.4569798411771189,9.578340950058218,0.984865470851797,0.22275972483942993,37,True,0.048400000000000006
13,-0.4569798411771189,19.580076926169937,0.984865470851797,0.22275972483942993,37,True,0.048266666666666666
14,-0.4569798411771189,199.58167318709454,0.984865470851797,0.22275972483942993,37,True,0.048133333333333334
15,-0.4569798411771189,24.579305566916645,0.984865470851797,0.22275972483942993,37,True,0.048
16,-0.4569798411771189,19.57888985940152,0.984865470851797,0.22275972483942993,37,True,0.04786666666666667
17,-0.4569798411771189,19.579031749037565,0.984865470851797,0.22275972483942993,37,True,0.047733333333333336
18,-0.4569798411771189,219.5745443320424,0.984865470851797,0.22275972483942993,37,True,0.0476
19,-0.4588566819845231,9.575625444331846,0.9979820627800452,0.2492416233854816,37,True,0.04746666666666667
20,-0.4588566819845231,-0.4215395277721922,0.9979820627800452,0.2492416233854816,37,True,0.04733333333333334
21,-0.46065025107689617,214.57705487673775,0.9757847533630098,0.21202371650495166,34,True,0.047200000000000006
22,-0.4657997570510647,-0.4234984609241226,0.9866591928248908,0.2225414042989143,32,True,0.047066666666666666
