generation,best_fitness,mean_fitness,f1_coverage,f2_cost,n_selected,feasible,mut_rate
0,-0.4417471234968596,-0.393888177162305,0.9692825112105449,0.24167317798094035,34,True,0.05
1,-0.4417471234968596,5.847247461051273,0.9692825112105449,0.24167317798094035,34,True,0.04973333333333334
2,-0.4417471234968596,-0.4068824679973053,0.9692825112105449,0.24167317798094035,34,True,0.04946666666666667
3,-0.4417471234968596,5.841952028761194,0.9692825112105449,0.24167317798094035,34,True,0.0492
4,-0.4417471234968596,12.091982633692616,0.9692825112105449,0.24167317798094035,34,True,0.048933333333333336
5,-0.4417471234968596,12.091042726100444,0.9692825112105449,0.24167317798094035,34,True,0.04866666666666667
6,-0.4417471234968596,30.837561268855996,0.9692825112105449,0.24167317798094035,34,True,0.048400000000000006
7,-0.4417471234968596,-0.40778350512036354,0.9692825112105449,0.24167317798094035,34,True,0.048133333333333334
8,-0.4417471234968596,18.33891331917122,0.9692825112105449,0.24167317798094035,34,True,0.04786666666666667
9,-0.4417471234968596,-0.4132469922323372,0.9692825112105449,0.24167317798094035,34,True,0.0476
10,-0.4417471234968596,-0.4114129740271776,0.9692825112105449,0.24167317798094035,34,True,0.04733333333333334
11,-0.4417471234968596,-0.41412013402242354,0.9692825112105449,0.24167317798094035,34,True,0.047066666666666666
12,-0.4417471234968596,12.085982424585456,0.9692825112105449,0.24167317798094035,34,True,0.0468
13,-0.444177799134602,5.835653945998638,0.99013452914776,0.2644168160437773,42,True,0.046533333333333336
14,-0.444177799134602,-0.41727950303884126,0.99013452914776,0.2644168160437773,42,True,0.04626666666666667
15,-0.4535958765836381,18.33136764108655,0.9809417040356544,0.23192152717124298,37,True,0.046
16,-0.4535958765836381,37.080437723270485,0.9809417040356544,0.23192152717124298,37,True,0.045733333333333334
17,-0.4535958765836381,12.080054305022426,0.9809417040356544,0.23192152717124298,37,True,0.04546666666666667
18,-0.4535958765836381,5.830434740069751,0.9809417040356544,0.23192152717124298,37,True,0.045200000000000004
19,-0.4535958765836381,5.830927295649142,0.9809417040356544,0.23192152717124298,37,True,0.04493333333333334
20,-0.4535958765836381,30.832101562768173,0.9809417040356544,0.23192152717124298,37,True,0.04466666666666667
21,-0.45774305557174305,5.827289105635424,0.9782511210760138,0.22198219730040067,36,True,0.0444
22,-0.4602203423775227,12.077821958287423,0.9812780269056095,0.21446354429983663,34,True,0.04413333333333334
23,-0.4602203423775227,12.074836112107343,0.9812780269056095,0.21446354429983663,34,True,0.04386666666666667
24,-0.4602203423775227,224.57003467627246,0.9812780269056095,0.21446354429983663,34,True,0.0436
25,-0.4611626344716184,37.06891116890987,0.97645739910292,0.21219990501133265,34,True,0.043333333333333335
26,-0.4611626344716184,-0.4335660203183835,0.97645739910292,0.21219990501133265,34,True,0.04306666666666667
27,-0.4611626344716184,18.314564832287044,0.97645739910292,0.21219990501133265,34,True,0.042800000000000005
28,-0.4728558623092206,12.064714395432203,0.9605381165917128,0.17914540914028468,29,True,0.04253333333333333
29,-0.4728558623092206,-0.4375254928947848,0.9605381165917128,0.17914540914028468,29,True,0.04226666666666667
30,-0.4728558623092206,5.81042814820933,0.9605381165917128,0.17914540914028468,29,True,0.042
31,-0.4728558623092206,5.809600289998695,0.9605381165917128,0.17914540914028468,29,True,0.04173333333333334
32,-0.4728558623092206,12.061118635936499,0.9605381165917128,0.17914540914028468,29,True,0.041466666666666666
