iteration,best_fitness,curr_fitness,temperature,f1_coverage,f2_cost,n_selected,feasible,n_reheats
0,-0.5113198272575591,-0.48790210875950585,2.991,0.9757847533630098,0.1483737034823473,23,True,0
100,-0.5113198272575591,-0.381265101242044,2.2147884202834898,0.9757847533630098,0.1483737034823473,23,True,0
200,-0.5113198272575591,-0.3648122957989006,1.6400159634309053,0.9757847533630098,0.1483737034823473,23,True,0
300,-0.5113198272575591,-0.3587152686473335,1.2144060063145565,0.9757847533630098,0.1483737034823473,23,True,0
400,-0.5113198272575591,-0.35931214786278026,0.8992485323664988,0.9757847533630098,0.1483737034823473,23,True,0
500,-0.5113198272575591,-0.36527872670449335,0.6658793836316435,0.9757847533630098,0.1483737034823473,23,True,0
600,-0.5113198272575591,-0.3445692128355895,0.4930732023312844,0.9757847533630098,0.1483737034823473,23,True,0
700,-0.5113198272575591,-0.3628425926030476,0.3651129451271906,0.9757847533630098,0.1483737034823473,23,True,0
800,-0.5113198272575591,-0.3609373255761433,0.5407207776417946,0.9757847533630098,0.1483737034823473,23,True,1
900,-0.5113198272575591,-0.3683063646671587,0.4003952246498598,0.9757847533630098,0.1483737034823473,23,True,1
1000,-0.5113198272575591,-0.3638531339121758,0.29648636144811624,0.9757847533630098,0.1483737034823473,23,True,1
1100,-0.5113198272575591,-0.3595439447328123,0.21954348382055267,0.9757847533630098,0.1483737034823473,23,True,1
1200,-0.5113198272575591,-0.3592211514404335,0.16256849405364618,0.9757847533630098,0.1483737034823473,23,True,1
1300,-0.5113198272575591,-0.3649757098232129,0.2407588218876235,0.9757847533630098,0.1483737034823473,23,True,2
1400,-0.5113198272575591,-0.3607666647901487,0.17827811795312723,0.9757847533630098,0.1483737034823473,23,True,2
1500,-0.5113198272575591,-0.3729985448870811,0.13201214016466747,0.9757847533630098,0.1483737034823473,23,True,2
1600,-0.5113198272575591,-0.3568990017318835,0.09775291186009581,0.9757847533630098,0.1483737034823473,23,True,2
1700,-0.5113198272575591,-0.36691581364192294,0.07238449255658068,0.9757847533630098,0.1483737034823473,23,True,2
1800,-0.5113198272575591,-0.3510041770687955,0.10719915474584508,0.9757847533630098,0.1483737034823473,23,True,3
