param_value,f1,f2,fitness,n_selected,elapsed
50,0.8356502242150592,0.3302799265397849,-0.3956263202949703,18,5.14090895652771
75,0.9505605381163788,0.24866187138609522,-0.48416370649272367,18,6.019588947296143
100,0.9699551569504551,0.19959968800887823,-0.4974494384488059,20,6.94168496131897
125,0.9644618834078554,0.1527654137626542,-0.5140695916329514,20,8.527529001235962
150,0.9665919282509042,0.13592177230311472,-0.513661914169858,22,8.999398946762085
175,0.9706278026903652,0.13255020866146436,-0.5104235684901868,24,11.313286066055298
200,0.9577354260087537,0.1219864142678357,-0.5004572772887943,29,12.64326810836792
