iteration,best_fitness,mean_fitness,f1_coverage,f2_cost,n_selected,feasible,inertia,stagnation
0,-0.43406055679650013,-0.3539754855632828,0.9735426008966426,0.24985445297289385,42,True,0.9,1
1,-0.43406055679650013,-0.3672853378607867,0.9735426008966426,0.24985445297289385,42,True,0.8983333333333333,2
2,-0.43406055679650013,-0.37211506444017195,0.9735426008966426,0.24985445297289385,42,True,0.8966666666666667,3
3,-0.43406055679650013,-0.38184677157589153,0.9735426008966426,0.24985445297289385,42,True,0.895,4
4,-0.43406055679650013,-0.3830320733062883,0.9735426008966426,0.24985445297289385,42,True,0.8933333333333333,5
5,-0.43406055679650013,-0.38503352868937724,0.9735426008966426,0.24985445297289385,42,True,0.8916666666666667,6
6,-0.43406055679650013,-0.38663913161226665,0.9735426008966426,0.24985445297289385,42,True,0.89,7
7,-0.43406055679650013,-0.3903763389152471,0.9735426008966426,0.24985445297289385,42,True,0.8883333333333333,8
8,-0.43406055679650013,-0.38596261296623263,0.9735426008966426,0.24985445297289385,42,True,0.8866666666666667,9
9,-0.43406055679650013,-0.3872309825889529,0.9735426008966426,0.24985445297289385,42,True,0.885,10
10,-0.43406055679650013,-0.38829604623262404,0.9735426008966426,0.24985445297289385,42,True,0.8833333333333333,11
11,-0.43406055679650013,-0.391949470695829,0.9735426008966426,0.24985445297289385,42,True,0.8816666666666667,12
12,-0.43406055679650013,5.857573147676927,0.9735426008966426,0.24985445297289385,42,True,0.88,13
13,-0.43406055679650013,18.362197589923994,0.9735426008966426,0.24985445297289385,42,True,0.8783333333333334,14
14,-0.43406055679650013,-0.3874226334777572,0.9735426008966426,0.24985445297289385,42,True,0.8766666666666667,15
15,-0.43406055679650013,-0.3897017588616961,0.9735426008966426,0.24985445297289385,42,True,0.875,16
16,-0.43406055679650013,-0.3940351724306525,0.9735426008966426,0.24985445297289385,42,True,0.8733333333333334,17
17,-0.43406055679650013,5.859104458492116,0.9735426008966426,0.24985445297289385,42,True,0.8716666666666667,18
18,-0.43406055679650013,-0.39166998011171883,0.9735426008966426,0.24985445297289385,42,True,0.87,19
19,-0.43406055679650013,-0.394592314134511,0.9735426008966426,0.24985445297289385,42,True,0.8683333333333334,20
20,-0.43406055679650013,-0.39031108916344515,0.9735426008966426,0.24985445297289385,42,True,0.8666666666666667,21
21,-0.43406055679650013,-0.38855996601306353,0.9735426008966426,0.24985445297289385,42,True,0.865,22
22,-0.43406055679650013,-0.39016975720586766,0.9735426008966426,0.24985445297289385,42,True,0.8633333333333334,23
23,-0.43406055679650013,-0.39417785154739365,0.9735426008966426,0.24985445297289385,42,True,0.8616666666666667,24
24,-0.43406055679650013,-0.3907323738451788,0.9735426008966426,0.24985445297289385,42,True,0.86,25
25,-0.43406055679650013,-0.3908113749244354,0.9735426008966426,0.24985445297289385,42,True,0.8583333333333334,26
26,-0.43406055679650013,-0.3864746166293725,0.9735426008966426,0.24985445297289385,42,True,0.8566666666666667,27
27,-0.43406055679650013,-0.39397609452972115,0.9735426008966426,0.24985445297289385,42,True,0.855,28
28,-0.43406055679650013,-0.39026689636384726,0.9735426008966426,0.24985445297289385,42,True,0.8533333333333334,29
29,-0.43406055679650013,-0.3946537060847676,0.9735426008966426,0.24985445297289385,42,True,0.8516666666666667,0
30,-0.43406055679650013,-0.3911830700607936,0.9735426008966426,0.24985445297289385,42,True,0.85,1
31,-0.43406055679650013,-0.39097762507287886,0.9735426008966426,0.24985445297289385,42,True,0.8483333333333334,2
32,-0.43406055679650013,-0.3880634101517005,0.9735426008966426,0.24985445297289385,42,True,0.8466666666666667,3
33,-0.4382277854171462,-0.38958308266775354,0.9700672645737735,0.23938272739798708,43,True,0.845,0
34,-0.4382277854171462,-0.3902284352425207,0.9700672645737735,0.23938272739798708,43,True,0.8433333333333334,1
35,-0.4382277854171462,-0.3906088856264794,0.9700672645737735,0.23938272739798708,43,True,0.8416666666666667,2
36,-0.4382277854171462,-0.386882005289379,0.9700672645737735,0.23938272739798708,43,True,0.8400000000000001,3
37,-0.4382277854171462,-0.3892113834892067,0.9700672645737735,0.23938272739798708,43,True,0.8383333333333334,4
38,-0.4382277854171462,-0.3879879263671412,0.9700672645737735,0.23938272739798708,43,True,0.8366666666666667,5
39,-0.4382277854171462,-0.39201491013517203,0.9700672645737735,0.23938272739798708,43,True,0.835,6
40,-0.4382277854171462,12.108737842270571,0.9700672645737735,0.23938272739798708,43,True,0.8333333333333334,7
41,-0.4382277854171462,12.110548722760132,0.9700672645737735,0.23938272739798708,43,True,0.8316666666666667,8
42,-0.4382277854171462,-0.38505714862346574,0.9700672645737735,0.23938272739798708,43,True,0.8300000000000001,9
43,-0.4382277854171462,18.357192112552216,0.9700672645737735,0.23938272739798708,43,True,0.8283333333333334,10
44,-0.4382277854171462,-0.3915413238056207,0.9700672645737735,0.23938272739798708,43,True,0.8266666666666667,11
45,-0.4382277854171462,-0.38675111674930535,0.9700672645737735,0.23938272739798708,43,True,0.8250000000000001,12
46,-0.4382277854171462,12.109467233000437,0.9700672645737735,0.23938272739798708,43,True,0.8233333333333334,13
47,-0.4382277854171462,-0.3910634847615899,0.9700672645737735,0.23938272739798708,43,True,0.8216666666666667,14
48,-0.4382277854171462,12.109451918074615,0.9700672645737735,0.23938272739798708,43,True,0.8200000000000001,15
49,-0.4382277854171462,-0.3895074307242382,0.9700672645737735,0.23938272739798708,43,True,0.8183333333333334,16
50,-0.4382277854171462,-0.3912280243283314,0.9700672645737735,0.23938272739798708,43,True,0.8166666666666667,17
51,-0.4382277854171462,-0.3886775339107092,0.9700672645737735,0.23938272739798708,43,True,0.8150000000000001,18
52,-0.4382277854171462,24.611362214341977,0.9700672645737735,0.23938272739798708,43,True,0.8133333333333334,19
53,-0.4382277854171462,-0.38952713802172406,0.9700672645737735,0.23938272739798708,43,True,0.8116666666666666,20
